success,content,method,pattern_matched_start,pattern_matched_stop,char_count,word_count,filepath,filename,error
True,"the physical properties of Bi4O4S3, the Tc onset and Tc zero are 8.6 K and 4.5 K at 0 T, respectively. The broadness of the transition is probably caused by an inhomogeneity of the local structure and/or career doping level. Next, we show the crystal structure obtained by Rietveld refinement of the powder x-ray diffraction (XRD) pattern and density functional theory (DFT) calculations. At first, by indexing the observed peaks except for small peaks of impurity phases of Bi2S3 and Bi, we obtained the I-centered tetragonal lattice with lattice parameters of a = 3.9592(1) and c = 41.241(1) Å. The extinction rule suggested that the I4/mmm and I-42m space groups were the candidates. By fitting the XRD pattern with only Bi atoms at the Bi1, Bi2 and Bi3 sites in Table 1, the reliability factor of Rwp = 26.5 % was obtained. Furthermore, by adding S atoms at the S1, S2 and S3 sites in Table 1 to the refinement, Rwp = 16.0 % was achieved. Since both models for these space groups are completely identical, we selected higher-symmetric I4/mmm. Because it is difficult to determine the O sites using only XRD data, we performed structural optimization using DFT calculations. Additionally, we have confirmed the structural stability using molecular dynamics simulation. The atomic positions of Bi and S, determined by the XRD pattern, were only stable when the SO4 ions occupied z = 0 and 0.5. By using the structural model, we performed Rietveld refinement. Figure 2a shows the XRD pattern of this sample and the result of Rietveld refinement (Rwp = 14.41 %). The obtained atomic parameters and the site occupancy are summarized in Table 1. As shown in Fig. 2b, the XRD pattern is well-fitted at high angle region. A schematic image of the final crystal structure is shown in Fig. 2c. The layered structure is composed of Bi2S4 layers, Bi2O2 layers and SO4. The fluorite-type Bi2O2 layer is one of the well-known layers in the I4/mmm or P4/nmm tetragonal layered structures. In fact, Bi2O2SO4 is a known compound. The rock-salt-type Bi2S4 layer structure has been found only in ReOBiS2 (Re = Ce, Gd and Dy) with the P4/nmm space group.19 Figure 2d is a schematic image of the Bi2S4 layer projected along the c axis. The Bi and S atoms form square lattices. When all the sites are fully occupied, the atomic composition should be Bi6O8S5, namely Bi6O4S4(SO4). If the occupancy of the SO4 site is 50 %, the composition is Bi4O4S3. Therefore, we speculate that there are defects at the SO4 site in our Bi4O4S3 superconducting sample, because defects of molecules or ions at the interlayer site are often observed in layered compounds. Finally, we discuss the band structure of the present material. It is found that Bi4O4S3 (x = 0.5) is metallic while Bi6O8S5 (x = 0) is band insulator with Bi3+. Figure 3 shows the band structure for x = 0.5 (Bi4O4S3) obtained using the Wien2k package adopting the lattice structure obtained as above.20 The Fermi level lies within the bands which mainly originate from the Bi 6p orbitals. In particular, the Fermi level is just on the peak position of the partial density of states of the Bi 6p orbital within the BiS2 layer. Focusing on the contribution from the BiS2 layer, it is found that the band structure near the Fermi level consists of px and py orbital contributions, which in itself have quasi-one-dimensional nature, but mixes around the R point to result in a two dimensional band structure. The width of these Bi p bands is about 3eV, which is comparable to the width of the 3d bands of the high-Tc cuprates or the iron-based superconductors, and this, along with the low dimensional nature of the band structure suggests that electron correlation effects may be playing some role in the occurrence of superconductivity. As reported here, superconductivity in the new layered superconductor Bi4O4S3 is realized within the BiS2 layers upon electron doping. By changing the spacer layers, we will be able to obtain various BiS2-based new superconductors. We believe that the BiS2-based family will open a new field in physics and chemistry for low-dimensional superconductors as have cuprate and Fe-based superconductors. Methods Polycrystalline samples of Bi4O4S3 were prepared using a conventional solid state reaction method. All the chemicals were purchased from Kojundo Chemical Lab. At first, Bi2S3 was prepared by reacting Bi (99.99% grain) and S (99.9% grain) in an evacuated quartz tube above 500 ºC. Starting materials of Bi2S3, Bi2O3 (99.9% powder) and S were ground, pelletized, sealed into an evacuated quartz tube and heated at 510 ºC for 10 h. The product was well-ground, pelletized and annealed at 510 ºC for 10 h in an evacuated quartz tube again. In the case that the Bi4O4S3 sample was heated above 550 ºC, SO2 gas was produced. If you try to synthesize this material, please be careful not to heat the sample sealed in an evacuated tube at high temperature to avoid explosion. Temperature dependence of magnetic susceptibility from 10 to 2 K after both zero-field cooling (ZFC) and fieled cooling (FC) was measured using a superconducting quantum interference device (SQUID) magnetometer with an applied magnetic field of 9.3 Oe. Temperature dependence of resistivity from 300 to 2 K was measured using the four terminals method. The Tc onset was defined to be a temperature where the resistivity deviates from the linear-extrapolation of normal-state resistivity as shown in the inset of fig. 1b. X-ray diffraction (XRD) pattern was collected by RIGAKU x-ray diffractometer with Cu-K radiation using the 2- method. The diffraction peaks were indexed by the software X-Cell21 of Accelrys, Inc. The initial model of the crystal structure was derived from the software TOPAS of Bruker AXS, Inc. The structure was refined by the Rietveld-analysis program Materials Studio Reflex of Accelrys, Inc. Geometry optimizations were carried out using the density functional theory (DFT) methods with the program Materials Studio CASTEP22 of Accelrys, Inc. The GGA (generalized gradient approximation)-PBEsol (Perdew-Burke-Ernzerhof for solids) exchange-correlation functionals23 and ultrasoft pseudopotentials24 were employed. The energy cutoff for the plane-wave basis set was 380.0 eV. The Monkhorst-Pack grid separation25 was set to approximately 0.04 Å-1. The lattice parameters were set to the experimental values, and the atomic positions were optimized to minimize the total energy. The schematic images of the crystal structure were depicted using VESTA.26 Band structure of Bi4O4S3 shown in Fig.3 was calculated using the WIEN2k package.20 GGA-PBEsol exchange-correlation functional was adopted.23 512 k-points and RKmax = 7.0 were taken. The spin-orbit interaction was omitted.",inline_phrase,To summarize,"7 
 
 
References",6748,1091,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1207.3145v1_full.txt,1207.3145v1_full.txt,
True,"Here we discuss the requirements of the evolution of bulk superconductivity in LaO1-xFxBiS2. The F-concentration dependence of structural properties indicates that the O/F solubility limit seems to be near x = 0.5. A superconducting transition is observed for x (nominal) ≥ 0.5. However the shielding volume fraction in the magnetic susceptibility measurement is only 13.4 % for the best sample of x = 0.5 (AP2), which implies that the electron doping level is in the under-doped region of this system. Therefore, we performed the high pressure annealing to achieve further doping of F. Figure 5 shows the XRD profiles near the (102) and (004) peaks. The (004) peak slightly shifts to higher angles after high pressure annealing, indicating that the c axis decreases. This change indicates that the F concentration increased by the high pressure annealing. As described in 3-1, the x = 0.5 (AP2) sample contains small amount of BiF3 and LaF3. The F ions would be supplied from the impurity fluorides. With the fact that bulk superconductivity can be achieved by a slight increase of F concentration from x = 0.5, we guess the optimal doping level is slightly above x = 0.5. The estimated optimal doping level is comparable to that of Bi4O4S3. Therefore, we will be able to achieve bulk superconductivity in LaO1-xFxBiS2 by optimizing the carrier doping techniques or modifying the optimal doping level (band structure) by changing the spacer layer structures. In conclusion, we have discovered a new type of BiS2-based superconductor LaO1-xFxBiS2 with a Tc as high as 10.6 K. This superconductor has a layered structure analogous to the BiS2-based Bi4O4S3 superconductor, suggesting that the BiS2 layer is a basic structure which provides new layered superconducting family like CuO2 plane of cuprates and Fe2An2 layers of Fe-based family. Furthermore, we note that the spacer layer of LaOBiS2 is almost the same as that of LaOFeAs, which is the first FeAs-based system. Thus, we will be able to discover many BiS2-based superconductors on the basis of the analogy to FeAs-based compounds. We expect that the novel superconductors with the BiS2 superconducting layers will open a new field in physics and chemistry of low-dimensional superconductors.",section_header_strict,4.  Discussion,Acknowledgment,2250,360,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1207.3558v4_full.txt,1207.3558v4_full.txt,
True,"we present a phase diagram based on our transport and magnetization measurement and give discussions on the possible mechanism of superconductivity. As shown in Fig. 5, the onset superconducting transition point giving rise to the upper critical field Hc2 deter- -2 2 6 10 14 3 5 T (K) H (T) H c2 (99% n ) H c (kink) H c2 (cross) H irr (5% n ) Residual Cooper Pairs FIG. 5: (color online) Phase diagram derived from the resistive transition curves. The onset transition point gives rise to the upper critical field Hc2 shown by the red filled circles, the bulk superconductivity is established in a very small area covered by the curve name Hirr(T) (blue down triangles). The large area between them indicates a strong superconducting phase fluctuation. The curve marked with Hc2 (cross) marks the upper critical field determined using the usual crossing point of the normal state background and the extrapolated line of the steep resistive transition part. The curve Hc (kink) shows the point determined from the kinky point of the resistive data shown in Fig. 1(d). mined by 99%ρn is shown by the red filled circles. The bulk superconductivity is established in a very small area covered by the irreversibility line Hirr(T) (blue down triangles). The large area between them indicates a strong superconducting phase fluctuation. This is actually consistent with the theoretical expectation because the electronic system has an one dimensional feature. The curve marked with H2c (cross) gives the upper critical field determined using the usual crossing point of the normal state background and the extrapolated line of the steep resistive transition part. The most puzzling point is the kink appearing in the ρ vs. T data at a high magnetic field. The curve marked with Hc(kink) shows the critical field determined from the kinky point of the resistive data shown in Fig. 1(d), by following the trace of the arrowed red line there. Since this line traces very well to the onset transition point marked by Hc2(99%ρn) in the low field region, we naturally attribute it to the existence of residual Cooper pairs. If this kink can be interpreted as the onset for the pairing, that would indicate a very strong pairing strength. In a simple BCS argument, we have Hc2 = (πΦ0)/2¯hv2 F )∆2 sc, where Φ0 is the flux quanta, vF is the Fermi velocity. Such a strong pairing needs certainly a reasonable cause, which exceeds the limit of the simple phonon mediated picture. Taking account of the weak correlation effect in the Bi 6p electrons, some other novel mechanism, such as the valence fluctuation of the Bi2+ and Bi3+, may play an important role in this new superconductor. In summary, resistivity, Hall effect and magnetization have been intensively investigated on the new superconductor Bi4O4S3. A weak insulating behavior is induced in the normal state when a high magnetic field is applied. This can be induced either by an adjacent competing order, or the very shallow px and py band and small Fermi energy. Both the strong non-linear Hall effect and the magnetoresistance indicate the multiband feature. A kink appears on the temperature dependence of resistivity at all high magnetic fields when the bulk superconductivity is completely suppressed. This kink can be well traced back to the upper critical field Hc2(T ) in the low field region. We argue that the superconducting pairing, for some reason, could be very strong and occur first in the one dimensional chains, then the bulk superconductivity is established through the Josephson coupling between them.",inline_phrase,Finally,We appreciate,3568,591,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1207.4955v1_full.txt,1207.4955v1_full.txt,
True,"the BiS2-based superconductor NdO1-xFxBiS2 (x = 0.1 - 0.7) has been successfully synthesized by a solid-state reaction method. Chemical pressure promotes the F substitution, which originated from the exchange of La by Nd. As a result, NdO1-xFxBiS2 with bulk superconductivity can be obtained under ambient pressure. These results demonstrate that the BiS2 layer is the common superconducting layer. Thus, if we synthesize materials with the stacking structure consisting of the BiS2 layer and other blocking layers, new superconductors with the BiS2-layer would be discovered.",inline_phrase,"In conclusion,",Acknowledgements,576,84,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1207.5248v1_full.txt,1207.5248v1_full.txt,
True,"polycrystalline Bi4O4S3 were obtained. The room-temperature crystal structure and lattice constants were determined by powder X-ray diffraction (XRD) (Philips X'pert PRO) with Cu Kα radiation. The electronic and thermal transport measurements were performed in a Quantum Design physical property measurement system (PPMS), and the magnetization measurement was performed on a superconducting quantum interference device (SQUID) system. Figure 1 shows the XRD pattern for the Bi4O4S3 polycrystalline. The Bragg diffractions can be indexed using the tetragonal structure with the space group of I4/mmm. The lattice parameters are obtained by fitting the powder XRD pattern by using the Rietica software,11 and the obtained lattice constants a, b and c are a=b=0.3978nm, c= 4.107nm, respectively, which are in consistence with the reported results.9 Figure 2 shows the temperature dependence of the resistivity of the Bi4O4S3 polycrystalline measured by a standard four-probe method under a zero magnetic field. As seen from Fig. 2, the Bi4O4S3 has a metallic behavior in the normal state, and the magnitude of the resistivity is slightly less than that reported in Ref. 9 in the whole measurement temperature region. When the sample was cooled down to 5 K, the resistivity has an abrupt drop due to the occurrence of superconductivity. The inset of Fig. 2 shows the low temperature resistivity of Bi4O4S3 at different applied magnetic field (H). The superconducting transition temperature (Tc onset) and zero resistivity temperature (Tc0) of the sample are determined to be 4.5 K and 4.02 K at H=0T, respectively, and the superconducting transition width is determined to be 0.3 K according to 10-90% of the normal state resistivity, such a narrow width indicates the homogeneity of the sample. The Tc onset and Tc0 shift to lower temperatures with the increase of H. The superconductivity was also proved by the magnetic measurements shown in Fig. 3. The diamagnetism in the low-temperature region further confirms the existence of superconductivity, and the steep transition in the M (T) curve indicates that the sample is rather homogeneous. The superconducting diamagnetic transition begins at 4.02 K, defined by the onset point of the zero-field-cooling (ZFC) and field-cooling (FC) curves. It is consistent with the Tc0 obtained from the resistance measurement. The smaller magnetization value for FC is likely due to the complicated magnetic flux pinning effects.12 The value of -4πχ at 2 K is about 33%. The top inset of Fig. 3 shows the magnetization hysteresis loop of Bi4O4S3 at T=2K. The shape of the M (H) curve indicates that Bi4O4S3 is a typical type-II superconductor. The bottom inset of Fig. 3 shows the initial M (H) curves of the Bi4O4S3 in the low-field region at K, which allows us to estimate the lower critical field values (Hc1) at 2 K. At low fields, the M (H) isotherm is linear with H, as expected for a BCS type-II superconductor. The estimated Hc1 (2 K) value is about 7.4 Oe, defined by the point where the curve deviates from linearity (marked by the arrow in the inset of Fig.3). The thermal transport measurement results which are containing the Seebeck coefficient (S), electrical resistivity ρ, thermal conductivity κ are shown in Fig. 4. The k (T) shows a broad peak at around 25K. The origin is unknown at present. The S (T) is negative in the whole measurement temperature region, indicating the major carriers are electron-like. It is in agreement with the Hall measurement results.10 The S (T) is linearly dependent with temperature when T is less than 50K, above which the S (T) is less temperature dependent. It results in a broad slope change at ~ 100K. In the similar temperature region, a broad minimum in the Hall coefficient RH(T) was observed.10 It indicates the temperature dependence of S (T) is mainly governed by the evolution of charge carrier density with temperature. The efficiency of a thermoelectric material is determined by the dimensionless figure of merit, ZT (ZT=S2T/ρκ). Hence, a good thermoelectric material should have high S, low κ and ρ. The dimensionless figure of merit (ZT) for Bi4O4S3 is presented in Fig. 4(b). Due to low resistivity, and relatively small thermal conductivity, the ZT value of our sample at 300K reaches about 0.03. The ZT value at 300K is comparable to the Fe-based superconductors LaFePO1-xFx and LaFeAsO1-xFx,13 while larger than cuprates HgBaCaCuO (1223) and BiSrCaCuO (2212)14 by a few magnitudes. It is interesting to modify the S (T), κ (T) and ρ (T) to increase the ZT value so as to meet the requirements of practical applications, for instance, via chemical doping. In summary, polycrystalline samples of the new layered superconductor Bi4O4S3 are prepared by a one-step solid-state reaction method using Bi, S and Bi2O3 powders. The electronic and magnetic measurements show that the onset transition temperature and zero resistance transition temperature are Tc onset=4.5 K and Tc0=4.02 K, respectively. Our M (H) measurement indicates Bi4O4S3 is a typical type II-superconductor. The large thermoelectric effect with ZT=0.03 at room temperature, which may open a new scope for pursuing new thermoelectric materials with large ZT values.",inline_phrase,"Finally,",Acknowledgments:,5238,836,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1207.5395v1_full.txt,1207.5395v1_full.txt,
True,"we have synthesized the new layered sulfide Bi4O4S3 superconductor and established its bulk superconductivity by magnetization and transport measurements. Detailed Reitveld analysis determines the molecular composition as Bi3O3S2.25. The coherence length is estimated to be ~100Å. A departure from strong electron-electron correlation in the normal state is indicated. The Hall resistivity yields non-linear magnetic field dependence. AUTHOR INFORMATION *Corresponding Author Dr. V. P. S. Awana, Senior Scientist E-mail: awana@mail. npindia. org Ph. +91-11-45609357, Fax-+91-11-45609310",inline_phrase,In conclusion,Author Contributions,586,74,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1207.5428v5_full.txt,1207.5428v5_full.txt,
True,"In conclusion, the newly discovered LaO0.5F0.5BiS2 superconductor is synthesized in single phase and its bulk superconductivity is established below 2.7K from both magnetization and magneto-transport measurements. The normal state resistivity is semiconducting, implying a possibility for further increase in Tc with optimized doping and chemical pressure. The H-T phase diagram shows linear variation of upper-critical field as a function of temperature near Tc and Hc2(0) is estimated to be ~ 19 kOe. The present communication is not only the timely reproduction of the ref.1 results but the sample quality is slightly improved in terms of phase purity.",section_header_strict,4. Conclusion,Acknowledgments,655,97,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1207.6845v4_full.txt,1207.6845v4_full.txt,
True,"we have measured the electrical resistivity under pressure for the BiS2 based layered superconductors Bi4O4S3 and LaO0.5F0.5BiS2. Tc in metallic Bi4O4S3 decreases monotonically with increasing pressure, whereas Tc in semiconducting LaO0.5F0.5BiS2 initially increases and then decreases upon approaching the metallic region. The strong suppression of the semiconducting behavior in LaO0.5F0.5BiS2 suggests that the Fermi surface is in the vicinity of some instability. It is plausible that the Fermi level is located near the edge of the conduction band. This indicates that superconductivity is realized in the complex Fermi surface including the impurity band with a low carrier density and a low density of states, and it rather provides benefit for achieving a higher Tc.",inline_phrase,"In summary,",Acknowledgement,774,114,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1207.6935v2_full.txt,1207.6935v2_full.txt,
True,"our specific heat experiments on a polycrystalline sample of the BiS2-based superconductor Bi4O4S3 demonstrate that the superconductivity of it is bulk in nature. The Tc is estimated by the specific heat measurements to be Tc = 4.4 K, consistent with that of the resistivity and dc susceptibility. In order to further discuss the superconductivity mechanism of Bi4O4S3, lower temperature specific heat experiments below 2 K is essential.",inline_phrase,"In conclusion,",Acknowledgment,437,67,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1208.2796v1_full.txt,1208.2796v1_full.txt,
True,"In summary, we carried out magnetic susceptibility and electrical resistivity measurements as well as electron microprobe analysis on Bi4O4S3, which has recently been claimed to be a bulk superconductor (Tc = 4.5 K). Quality-improved polycrystalline Bi4O4S3 was successfully prepared by an HP method, and the lattice parameters and normal-state ρ, as well as the density of states at the Fermi level, were found to be comparable to those determined previously. The most notable discovery in this study was the impurity-driven SC (>1.6 K) in Bi4O4S3, which contradicted the results of ongoing studies of this compound. There are two possible reasons for the above-mentioned discrepancy: (i) common technical errors, including those related to the presence of a superconducting impurity, in ongoing studies. The impurity was found to show zero resistivity, even though its superconducting shielding fraction was smaller than 0.3%; (ii) slight local structure and chemical composition differences between the HP phase and the superconducting phase of Bi4O4S3, including a small variation of the S1-Bi2 bond in the BiS2 layer, as detected in this study. The concentrations of vacancies of the SO4 group in the layered structure of Bi4O4S3 might also vary upon HP heating. If the latter is true, the HP phase can be a host material for the superconducting phase. Although we cannot discuss the possible structure or composition variations of Bi4O4S3 in more detail because neutron diffraction studies are required, we conclude that the SC of the HP-prepared Bi4O4S3 is most likely impurity-driven. The relative sample scale to the λL hardly accounted for the negligible superconducting shielding fraction, as evidenced by the magnetic susceptibility measurements at a magnetic field of 1 Oe as well as of 10 Oe on a mm-size HP sample. Hence, the full shielding fraction reported in ongoing studies1-3) was possibly complicated by a superconducting link consisting of similar superconducting impurities throughout the grain boundaries and at the surface in a synthesized pellet as evidenced by marked decreases in the shielding fraction at a magnetic field of Oe (<< Hc1) even upon gentle grinding. Although the various forms of the superconducting link could play a fundamental role in the observed SC, it was highly challenging to identify the chemical composition and structure of the superconducting impurities because partially melted phases can be essential in the formation of the superconducting link (Bi melting point: 272 °C and S melting point: 115.2 °C). Although the Bi powder treated in the same heating procedure as the reference was not superconducting above 2 K, multiple phases were superconducting at the highest Tc of 8.2 K.10) Thus, neighbor materials in solid and amorphous forms should be carefully studied for relevance to the observed SC. In addition, the surface of the BiS2 layered phase might be altered under the presence of liquid phases during the heating process, resulting in the appearance of possible surface superconductivity. No matter which, the observed superconductivity did not truly reflect the bulk nature of the BiS2 layered phase, regardless of the manner in which the Bi4O4S3 compound is synthesized. Since the difficulty in identifying the superconducting impurities complicates ongoing studies, further experimental efforts toward measuring the degree of impact from impurities and possible altered particle surfaces on the observed SC would be needed to correctly characterize the BiS2 layered phase.",section_header_strict,4. Conclusions,"11 
 


Acknowledgements",3543,544,/content/drive/MyDrive/TFM/data/processed/corpus_v1.0_text_dumps/1208.2818v3_full.txt,1208.2818v3_full.txt,
