success,error,filepath,filename,content,method,pattern_matched,start_position,stop_position,length,char_count,word_count
False,No conclusion section found,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1207.3145v1_full.txt,1207.3145v1_full.txt,,,,,,,,
True,,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1207.3558v4_full.txt,1207.3558v4_full.txt,"Here we discuss the requirements of the evolution of bulk superconductivity in LaO1-xFxBiS2. The F-concentration dependence of structural properties indicates that the O/F solubility limit seems to be near x = 0.5. A superconducting transition is observed for x (nominal) ≥ 0.5. However the shielding volume fraction in the magnetic susceptibility measurement is only 13.4 % for the best sample of x = 0.5 (AP2), which implies that the electron doping level is in the under-doped region of this system. Therefore, we performed the high pressure annealing to achieve further doping of F. Figure 5 shows the XRD profiles near the (102) and (004) peaks. The (004) peak slightly shifts to higher angles after high pressure annealing, indicating that the c axis decreases. This change indicates that the F concentration increased by the high pressure annealing. As described in 3-1, the x = 0.5 (AP2) sample contains small amount of BiF3 and LaF3. The F ions would be supplied from the impurity fluorides. With the fact that bulk superconductivity can be achieved by a slight increase of F concentration from x = 0.5, we guess the optimal doping level is slightly above x = 0.5. The estimated optimal doping level is comparable to that of Bi4O4S3. Therefore, we will be able to achieve bulk superconductivity in LaO1-xFxBiS2 by optimizing the carrier doping techniques or modifying the optimal doping level (band structure) by changing the spacer layer structures. In conclusion, we have discovered a new type of BiS2-based superconductor LaO1-xFxBiS2 with a Tc as high as 10.6 K. This superconductor has a layered structure analogous to the BiS2-based Bi4O4S3 superconductor, suggesting that the BiS2 layer is a basic structure which provides new layered superconducting family like CuO2 plane of cuprates and Fe2An2 layers of Fe-based family. Furthermore, we note that the spacer layer of LaOBiS2 is almost the same as that of LaOFeAs, which is the first FeAs-based system. Thus, we will be able to discover many BiS2-based superconductors on the basis of the analogy to FeAs-based compounds. We expect that the novel superconductors with the BiS2 superconducting layers will open a new field in physics and chemistry of low-dimensional superconductors. Acknowledgment The authors would like to thank Dr. S. J. Denholme of National Institute for Materials Science (NIMS), Dr. H. Okazaki of NIMS, Dr. T. Yamaguchi of NIMS and Dr. H. Takatsu of Tokyo Metropolitan University for their experimental helps and fruitful discussion. This work was partly supported by Grant-in-Aid for Scientific Research (KAKENHI) and JST-EU-JAPAN project on superconductivity. 1) J. G. Bednorz, and K. Müller: Z. Physik B Condensed Matter 64 (1986) 189-193. 2) M. K. Wu, J. R. Ashburn, C. J. Torng, P. H. Hor, R. L. Meng, L. Gao, Z. J. Huang, Y. Q. Wang, and C. W. Chu: Phys. Rev. Lett. 58 (1987) 908-910. 3) H. Maeda, Y. Tanaka, M. Fukutomi, and T. Asano: Jpn. J. Appl. Phys. 27 (1988) L209-L210. 4) A. Schilling, M. Cantoni, J. D. Guo, and H. R. Ott: Nature 363 (1993) 56 - 58. 5) Y. Kamihara, T. Watanabe, M. Hirano, and H. Hosono: J. Am. Chem. Soc. 130 (2008) 3296-3297. 6) X. H. Chen, T. Wu, G. Wu, R. H. Liu, H. Chen, and D. F. Fang: Nature 453 (2008) 761-762. 7) Z. A. Ren, W. Lu, J. Yang, W. Yi, X. L. Shen, Z. C. Li, G. C. Che, X. L. Dong, L. L. Sun, F. Zhou, and Z. X. Zhao: Chinese Phys. Lett. 25 (2008) 2215. 8) M. Rotter, M. Tegel, and D. Johrendt: Phys. Rev. Lett. 101 (2008) 107006(1-4). 9) X. C. Wang, Q. Q. Liu, Y. X. Lv, W. B. Gao, L. X. Yang, R. C. Yu, F. Y. Li, and C. Q. Jin: Solid State Commun. 148 (2008) 538-540. 10) F. C. Hsu, J. Y. Luo, K. W. Yeh, T. K. Chen, T. W. Huang, P. M. Wu, Y. C. Lee, Y. L. Huang, Y. Y. Chu, D. C. Yan, and M. K. Wu: Proc. Natl. Acad. Sci. U. S. A. 105 (2008) 14262-14264. 11) K. W. Yeh, T. W. Huang, Y. l. Huang, T. K. Chen, F. C. Hsu, P. M. Wu, Y. C. Lee, Y. Y. Chu, C. L. Chen, J. Y. Luo, D. C. Yan, and M. K. Wu: EPL 84 (2008) 37002(p1-4). 12) Y. Mizuguchi, F. Tomioka, S. Tsuda, T. Yamaguchi, and Y. Takano: Appl. Phys. Lett. 94 (2009) 012503(1-3). 13) J. Guo, S. Jin, G. Wang, S. Wang, K. Zhu, T. Zhou, M. He, and X. Chen: Phys. Rev. B 82 (2010) 180520(1-4). 14) Y. Mizuguchi, H. Fujihisa, Y. Gotoh, K. Suzuki, H. Usui, K. Kuroki, S. Demura, Y. Takano, H. Izawa, and O. Miura: arXiv:1207.3145 (2012). 15) V. S. Tanryverdiev, O. M. Aliev, and I. I. Aliev: Inorg. Mater. 31 (1995) 1497-1498. 16) F. Izumi, and T. Ikeda: Mater. Sci. Forum 321-324 (2000) 198-205. 17) K. Momma, and F. Izumi: J. Appl. Cryst. 41 (2008) 653-658. 18) E. A. Ekimov, V. A. Sidorov, E. D. Bauer, N. N. Mel'nik, N. J. Curro, J. D. Thompson, and S. M. Stishov: Nature 428 (2004) 542-545. 19) Y. Takano, M. Nagao, I. Sakaguchi, M. Tachiki, T. Hatano, K. Kobayashi, H. umezawa, and H. Kawarada: Appl. Phys. Lett. 85 (2004) 2851(1-3). 20) S. Yamanaka, K. Hotehama, and H. Kawaji: Nature 392 (1998) 580-582. 21) H. Kawaji, K. Hote",section_header,4.  Discussion,11397.0,,4930.0,4930.0,885.0
True,,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1207.4955v1_full.txt,1207.4955v1_full.txt,"In summary, resistivity, Hall effect and magnetization have been intensively investigated on the new superconductor Bi4O4S3. A weak insulating behavior is induced in the normal state when a high magnetic field is applied. This can be induced either by an adjacent competing order, or the very shallow px and py band and small Fermi energy. Both the strong non-linear Hall effect and the magnetoresistance indicate the multiband feature. A kink appears on the temperature dependence of resistivity at all high magnetic fields when the bulk superconductivity is completely suppressed. This kink can be well traced back to the upper critical field Hc2(T ) in the low field region. We argue that the superconducting pairing, for some reason, could be very strong and occur first in the one dimensional chains, then the bulk superconductivity is established through the Josephson coupling between them. We appreciate the useful discussions with Qianghua Wang and Jianxin Li. This work is supported by the NSF of China, the Ministry of Science and Technology of China (973 projects: 2011CBA00102), and Chinese Academy of Sciences. ∗hhwen@nju. edu. cn [1] J. G. Bednorz and K. A. Muller, Z. Physik B 64, 189 (1986). [2] Y. Kamihara et al., J. Am. Chem. Soc. 130, 3296 (2008). [3] P. W. Anderson et al., J. Phys. Condens. Matter 16, R755 (2004). [4] D. J. Scalapino, Phys. Rep. 250, 329 (1995). T. Moriya and K. Ueda, Rep. Prog. Phys. 66, 1299(2003). P. Monthoux, D. Pines and G. Longarich, Nature 450, 20 (2007). [5] N. Ni et al., Phys. Rev. B 78, 214515 (2008). [6] Q. M. Si and F. Steglich, Science 329, 1161 (2010). [7] M. Dressel et al., J. Phys. Cond. matt. 23, 293201 (2011). [8] Yoshikazu Mizuguchi, et al., arXiv 1207.3145. [9] Yoshikazu Mizuguchi, et al., arXiv 1207.3558. [10] Hidetomo Usui, Katsuhiro Suzuki, Kazuhiko Kuroki, arXiv 1207.3888. [11] A. M. Clogston, Phys. Rev. Lett. 9, 266 (1962). [12] Huan Yang, et al., Phys. Rev. Lett. 101, 067001(2008). [13] Qi Li, et al., Phys. Rev. Lett. 96, 167003(2006). [14] J. M. Zinman, Electrons and Phonons, Classics Series, Oxford University Press, New York(2001). [15] R. Corcoran, et al., J. Phys.: Condens. Matter. 6, 4479(1994).",inline_phrase,"In summary,",19580.0,,2182.0,2182.0,361.0
True,,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1207.5248v1_full.txt,1207.5248v1_full.txt,"In conclusion, the BiS2-based superconductor NdO1-xFxBiS2 (x = 0.1 - 0.7) has been successfully synthesized by a solid-state reaction method. Chemical pressure promotes the F substitution, which originated from the exchange of La by Nd. As a result, NdO1-xFxBiS2 with bulk superconductivity can be obtained under ambient pressure. These results demonstrate that the BiS2 layer is the common superconducting layer. Thus, if we synthesize materials with the stacking structure consisting of the BiS2 layer and other blocking layers, new superconductors with the BiS2-layer would be discovered.",inline_phrase,"In conclusion,",6032.0,6643.0,591.0,591.0,86.0
True,,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1207.5395v1_full.txt,1207.5395v1_full.txt,"In summary, polycrystalline samples of the new layered superconductor Bi4O4S3 are prepared by a one-step solid-state reaction method using Bi, S and Bi2O3 powders. The electronic and magnetic measurements show that the onset transition temperature and zero resistance transition temperature are Tc onset=4.5 K and Tc0=4.02 K, respectively. Our M (H) measurement indicates Bi4O4S3 is a typical type II-superconductor. The large thermoelectric effect with ZT=0.03 at room temperature, which may open a new scope for pursuing new thermoelectric materials with large ZT values. Acknowledgments: This work was supported by the National Key Basic Research under contract No. 2011CBA00111, and the National Nature Science Foundation of China under contract Nos. 10804111, 10974205, 11104279, 11174293 and 51102240, and Director's Fund of Hefei Institutes of Physical Science, Chinese Academy of Sciences.",inline_phrase,"In summary,",8121.0,9035.0,897.0,897.0,128.0
False,No conclusion section found,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1207.5428v5_full.txt,1207.5428v5_full.txt,,,,,,,,
True,,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1207.6845v4_full.txt,1207.6845v4_full.txt,"In conclusion, the newly discovered LaO0.5F0.5BiS2 superconductor is synthesized in single phase and its bulk superconductivity is established below 2.7K from both magnetization and magneto-transport measurements. The normal state resistivity is semiconducting, implying a possibility for further increase in Tc with optimized doping and chemical pressure. The H-T phase diagram shows linear variation of upper-critical field as a function of temperature near Tc and Hc2(0) is estimated to be ~ 19 kOe. The present communication is not only the timely reproduction of the ref.1 results but the sample quality is slightly improved in terms of phase purity. Acknowledgments Authors from NPL would like to thank their Director Prof. R. C. Budhani for his keen interest in the present work. This work is supported by DAE-SRC outstanding investigator award scheme on search for new superconductors. Anuj Kumar, Rajveer Jha, Shiva Kumar and Anand Pal are thankful to CSIR-India for providing the financial support during their research. Shruti and J. Saha acknowledge UGC for research fellowships. S. Patnaik thanks AIRF, JNU for the PPMS facility. 7",section_header,4. Conclusion,9750.0,10930.0,1144.0,1144.0,174.0
True,,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1207.6935v2_full.txt,1207.6935v2_full.txt,"In summary, we have measured the electrical resistivity under pressure for the BiS2 based layered superconductors Bi4O4S3 and LaO0.5F0.5BiS2. Tc in metallic Bi4O4S3 decreases monotonically with increasing pressure, whereas Tc in semiconducting LaO0.5F0.5BiS2 initially increases and then decreases upon approaching the metallic region. The strong suppression of the semiconducting behavior in LaO0.5F0.5BiS2 suggests that the Fermi surface is in the vicinity of some instability. It is plausible that the Fermi level is located near the edge of the conduction band. This indicates that superconductivity is realized in the complex Fermi surface including the impurity band with a low carrier density and a low density of states, and it rather provides benefit for achieving a higher Tc.",inline_phrase,"In summary,",15736.0,16536.0,786.0,786.0,116.0
True,,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1208.2796v1_full.txt,1208.2796v1_full.txt,"In conclusion, our specific heat experiments on a polycrystalline sample of the BiS2-based superconductor Bi4O4S3 demonstrate that the superconductivity of it is bulk in nature. The Tc is estimated by the specific heat measurements to be Tc = 4.4 K, consistent with that of the resistivity and dc susceptibility. In order to further discuss the superconductivity mechanism of Bi4O4S3, lower temperature specific heat experiments below 2 K is essential. Acknowledgment We acknowledge Yusuke Nakai and Yoshihiko Takano for fruitful discussions and experimental supports. This work was partly supported by Grant-in-Aid for Research Activity Startup (23860042) from the Ministry of Education. 1) Y. Mizuguchi, H. Fujihisa, Y. Gotoh, K. Suzuki, H. Usui, K. Kuroki, S. Demura, Y. Takano, H. Izawa, and O. Miura:, arXiv:1207.3145 (2012). 2) Y. Mizuguchi, S. Demura, K. Deguchi, Y. Takano, H. Fujihisa, Y. Gotoh, H. Izawa, and O. Miura:, arXiv:1207.3558 (2012). 3) S. Demura, Y. Mizuguchi, K. Deguchi, H. Okazaki, H. Hara, T. Watanabe, S. J. Denholme, M. Fujioka, T. Ozaki, H. Fujihisa, Y. Goto, O. Miura, T. Yamaguchi, H. Takeya, and Y. Takano:, arXiv:1207.5248 (2012). 4) S. Li, H. Yang, J. Tao, X. Ding, and H. H. Wen:, arXiv1207.4955 (2012). 5) S. G. Tan, L. J. Li, Y. Liu, P. Tong, B. C. Zhao, W. J. Lu, and Y. P. Sun:, arXiv:1207.5395 (2012). 6) V. P. S. Awana, A. Kumar, R. Jha, S. Kumar, J. Kumar, A. Pal, Shruti, J. Saha, and S. Patnaik:, arXiv:1207.6845 (2012). 7) S. K. Singh, A. Kumar, B. Gahtori, Shruti, G. Sharma, S. Patnaik, and V. P. S. Awana:, arXiv:1207.5428 (2012). 8) Y. T. H Kotegawa, H. Tou, H. Izawa, Y. Mizuguchi, O. Miura, S. Demura, K. Deguchi, and Y. Takano:, to be published in J. Phys. Soc. Jpn. (arXiv:1207.6935) (2012). 9) H. Usui, K. Suzuki, and K. Kuroki:, arXiv1207.3888 (2012). 10) T. Zhou and Z. D. Wang:, arXiv:1208.1101 (2012). 11) S. Y. S. X Wan, H C Ding and C. G. Duan:, arXiv:1208.1807 (2012). 12) J. G. Bednorz and K. A. M¨uller: Z Physik B Condensed Matter 64 (1986) 189. 13) K. Ishida, Y. Nakai, and H. Hosono: J. Phys. Soc. Jpn. 78 (2009) 062001. 14) Y. Mizuguchi,, and Y. Takano: J. Phys. Soc. Jpn. 79 (2010) 102001.",inline_phrase,"In conclusion,",5632.0,,2156.0,2156.0,368.0
True,,/content/drive/MyDrive/TFM/data/processed/corpus_text_dumps/1208.2818v3_full.txt,1208.2818v3_full.txt,"In summary, we carried out magnetic susceptibility and electrical resistivity measurements as well as electron microprobe analysis on Bi4O4S3, which has recently been claimed to be a bulk superconductor (Tc = 4.5 K). Quality-improved polycrystalline Bi4O4S3 was successfully prepared by an HP method, and the lattice parameters and normal-state ρ, as well as the density of states at the Fermi level, were found to be comparable to those determined previously. The most notable discovery in this study was the impurity-driven SC (>1.6 K) in Bi4O4S3, which contradicted the results of ongoing studies of this compound. There are two possible reasons for the above-mentioned discrepancy: (i) common technical errors, including those related to the presence of a superconducting impurity, in ongoing studies. The impurity was found to show zero resistivity, even though its superconducting shielding fraction was smaller than 0.3%; (ii) slight local structure and chemical composition differences between the HP phase and the superconducting phase of Bi4O4S3, including a small variation of the S1-Bi2 bond in the BiS2 layer, as detected in this study. The concentrations of vacancies of the SO4 group in the layered structure of Bi4O4S3 might also vary upon HP heating. If the latter is true, the HP phase can be a host material for the superconducting phase. Although we cannot discuss the possible structure or composition variations of Bi4O4S3 in more detail because neutron diffraction studies are required, we conclude that the SC of the HP-prepared Bi4O4S3 is most likely impurity-driven. The relative sample scale to the λL hardly accounted for the negligible superconducting shielding fraction, as evidenced by the magnetic susceptibility measurements at a magnetic field of 1 Oe as well as of 10 Oe on a mm-size HP sample. Hence, the full shielding fraction reported in ongoing studies1-3) was possibly complicated by a superconducting link consisting of similar superconducting impurities throughout the grain boundaries and at the surface in a synthesized pellet as evidenced by marked decreases in the shielding fraction at a magnetic field of 1 Oe (<< Hc1) even upon gentle grinding. Although the various forms of the superconducting link could play a fundamental role in the observed SC, it was highly challenging to identify the chemical composition and structure of the superconducting impurities because partially melted phases can be essential in the formation of the superconducting link (Bi melting point: 272 °C and S melting point: 115.2 °C). Although the Bi powder treated in the same heating procedure as the reference was not superconducting above 2 K, multiple phases were superconducting at the highest Tc of 8.2 K.10) Thus, neighbor materials in solid and amorphous forms should be carefully studied for relevance to the observed SC. In addition, the surface of the BiS2 layered phase might be altered under the presence of liquid phases during the heating process, resulting in the appearance of possible surface superconductivity. No matter which, the observed superconductivity did not truly reflect the bulk nature of the BiS2 layered phase, regardless of the manner in which the Bi4O4S3 compound is synthesized. Since the difficulty in identifying the superconducting impurities complicates ongoing studies, further experimental efforts toward measuring the degree of impact from impurities and possible altered particle surfaces on the observed SC would be needed to correctly characterize the BiS2 layered phase. 11",section_header,4. Conclusions,22399.0,26015.0,3548.0,3548.0,546.0
