source,target,relation,effect,claim_id
LaO0.5F0.5Bi1-xPbxS2,resistivity,HAS_PROPERTY,,N/A
LaO0.5F0.5Bi1-xPbxS2,thermal expansion,HAS_PROPERTY,,N/A
LaO0.5F0.5Bi1-xPbxS2,specific heat,HAS_PROPERTY,,N/A
LaO0.5F0.5Bi1-xPbxS2,Seebeck coefficient,HAS_PROPERTY,,N/A
LaO0.5F0.5Bi1-xPbxS2,anomalies,EXHIBITS_STATE,,N/A
LaO0.5F0.5Bi1-xPbxS2,thermal expansion anomalies,EXHIBITS_STATE,,N/A
LaO0.5F0.5Bi1-xPbxS2,specific heat anomalies,EXHIBITS_STATE,,N/A
LaO0.5F0.5Bi1-xPbxS2,hystereses,EXHIBITS_STATE,,N/A
LaO0.5F0.5Bi1-xPbxS2,first-order structural phase transition,EXHIBITS_STATE,,N/A
LaO0.5F0.5Bi1-xPbxS2,T*,HAS_PROPERTY,,N/A
LaO0.5F0.5Bi1-xPbxS2,Superconductivity,EXHIBITS_STATE,,N/A
LaO0.5F0.5Bi1-xPbxS2,lattice structure,HAS_PROPERTY,,N/A
resistivity,T*,PROPERTY_UNDER_CONDITION,,N/A
resistivity,low-temperature regions,PROPERTY_UNDER_CONDITION,,N/A
resistivity,La2O2Bi3AgS6,HAS_PROPERTY,,N/A
resistivity,T *≈180 K,PROPERTY_UNDER_CONDITION,,N/A
resistivity,Sr0.5La0.5FBiS2,HAS_PROPERTY,,N/A
resistivity,high magnetic field,PROPERTY_UNDER_CONDITION,,N/A
resistivity,pressure,PROPERTY_UNDER_CONDITION,,N/A
resistivity,local minimum,HAS_PROPERTY_VALUE,,N/A
resistivity,LaOBiSSe,HAS_PROPERTY,,N/A
resistivity,orientation,PROPERTY_UNDER_CONDITION,,N/A
resistivity,RO1-aFaBiS2,HAS_PROPERTY,,N/A
resistivity,zero,HAS_PROPERTY_VALUE,,N/A
resistivity,NdO0.5F0.5Bi(S1-xSex)2,HAS_PROPERTY,,N/A
resistivity,x ≤ 0.2,PROPERTY_UNDER_CONDITION,,N/A
resistivity,LaO0.5F0.5BiS2,HAS_PROPERTY,,N/A
resistivity,metallic behavior,HAS_PROPERTY_VALUE,,N/A
resistivity,applied pressure,PROPERTY_UNDER_CONDITION,,N/A
resistivity,SrFBiS2,HAS_PROPERTY,,N/A
resistivity,Hydrostatic pressure,PROPERTY_UNDER_CONDITION,,N/A
resistivity,superconducting transition,MEASURES,,N/A
resistivity,semiconducting behavior,EXHIBITS_STATE,,N/A
resistivity,LaOBiS2,HAS_PROPERTY,,N/A
resistivity,doped,PROPERTY_UNDER_CONDITION,,N/A
resistivity,Tc0,MEASURES,,N/A
resistivity,Hc2(0),DESCRIBES,,N/A
resistivity,Bi4-xAgxO4S3,HAS_PROPERTY,,N/A
resistivity,Bi4O4S3,HAS_PROPERTY,,N/A
resistivity,semiconducting,EXHIBITS_STATE,,N/A
resistivity,0.13 K,PROPERTY_UNDER_CONDITION,,N/A
resistivity,PrOBiS2,HAS_PROPERTY,,N/A
resistivity,Superconductivity,MEASURES,,N/A
resistivity,upper critical field,MEASURES,,N/A
resistivity,temperature dependence,PROPERTY_UNDER_CONDITION,,N/A
resistivity,Bi4O4S2,HAS_PROPERTY,,N/A
resistivity,4 K,PROPERTY_UNDER_CONDITION,,N/A
resistivity,Hc2(T),HAS_PROPERTY,,N/A
resistivity,decreasing temperature,PROPERTY_UNDER_CONDITION,,N/A
thermal expansion,T*,PROPERTY_UNDER_CONDITION,,N/A
specific heat,T*,PROPERTY_UNDER_CONDITION,,N/A
Seebeck coefficient,T*,PROPERTY_UNDER_CONDITION,,N/A
Seebeck coefficient,La2O2Bi3Ag0.6Sn0.4S6,HAS_PROPERTY,,N/A
Seebeck coefficient,low temperature,PROPERTY_UNDER_CONDITION,,N/A
Seebeck coefficient,S = -25 μV/K,HAS_PROPERTY_VALUE,,N/A
Seebeck coefficient,electronic states,MEASURES,,N/A
Seebeck coefficient,LaOBiSSe,HAS_PROPERTY,,N/A
Seebeck coefficient,orientation,PROPERTY_UNDER_CONDITION,,N/A
Seebeck coefficient,semimetal,DESCRIBES,,N/A
Seebeck coefficient,LaO0.5F0.5BiS2,HAS_PROPERTY,,N/A
Seebeck coefficient,-20 microV/K,HAS_PROPERTY_VALUE,,N/A
Seebeck coefficient,ambient pressure,PROPERTY_UNDER_CONDITION,,N/A
Seebeck coefficient,high-pressure-annealed,PROPERTY_UNDER_CONDITION,,N/A
Seebeck coefficient,negative in sign,HAS_PROPERTY_VALUE,,N/A
Seebeck coefficient,slightly smaller in magnitude,HAS_PROPERTY_VALUE,,N/A
Seebeck coefficient,Thermoelectric effects,HAS_PROPERTY,,N/A
Seebeck coefficient,Bi4-xAgxO4S3,HAS_PROPERTY,,N/A
Seebeck coefficient,SrFBiS2,HAS_PROPERTY,,N/A
Seebeck coefficient,large,HAS_PROPERTY_VALUE,,N/A
Seebeck coefficient,Thermal transport measurement,MEASURES,,N/A
Seebeck coefficient,LaO1-xFxBiS2,HAS_PROPERTY,,N/A
Seebeck coefficient,F concentration,PROPERTY_UNDER_CONDITION,,N/A
anomalies,x≥0.08,STATE_UNDER_CONDITION,,N/A
x≥0.08,T*,HAS_CONDITION_VALUE,,N/A
x≥0.08,x≥0.08,HAS_CONDITION_VALUE,,N/A
x≥0.08,Superconductivity,STATE_UNDER_CONDITION,,N/A
x≥0.08,0.08,HAS_CONDITION_VALUE,,N/A
x≥0.08,structural phase boundary,STATE_UNDER_CONDITION,,N/A
specific heat anomalies,specific heat experiments,MEASURES,,N/A
specific heat anomalies,Bi4O4S3,EXHIBITS_STATE,,N/A
hystereses,RO1-aFaBiS2,EXHIBITS_STATE,,N/A
hystereses,current-voltage curve,MEASURES,,N/A
hystereses,pressure,STATE_UNDER_CONDITION,,N/A
first-order structural phase transition,Sr0.5La0.5FBiS2,EXHIBITS_STATE,,N/A
first-order structural phase transition,1.3 GPa,STATE_UNDER_CONDITION,,N/A
T*,lattice system,STATE_UNDER_CONDITION,,N/A
T*,electronic system,STATE_UNDER_CONDITION,,N/A
T*,\laofh,HAS_PROPERTY,,N/A
T*,0.16 eV,HAS_PROPERTY_VALUE,,N/A
T*,Superconductivity,PROPERTY_UNDER_CONDITION,,N/A
Superconductivity,2 K,PROPERTY_UNDER_CONDITION,,N/A
Superconductivity,structural phase boundary,STATE_UNDER_CONDITION,,N/A
Superconductivity,Bi4O4S3,EXHIBITS_STATE,,N/A
Superconductivity,LaO0.5F0.5BiS2,EXHIBITS_STATE,,N/A
Superconductivity,F substitution,STATE_UNDER_CONDITION,,N/A
Superconductivity,lattice anharmonicity,PROPERTY_UNDER_CONDITION,,N/A
Superconductivity,"R(O,F)BiS2",EXHIBITS_STATE,,N/A
